Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
961,09-03-2022,UEFA Champions League,Real Madrid,3-1,Paris Saint-Germain,Starter,90,0,0,0,30
960,05-03-2022,Ligue 1,OGC Nice,1-0,Paris Saint-Germain,Starter,90,0,0,0,30
959,26-02-2022,Ligue 1,Paris Saint-Germain,3-1,AS Saint-Étienne,Starter,90,0,2,0,30
958,19-02-2022,Ligue 1,FC Nantes,3-1,Paris Saint-Germain,Starter,90,0,1,0,30
957,15-02-2022,UEFA Champions League,Paris Saint-Germain,1-0,Real Madrid,Starter,90,0,0,0,30
956,11-02-2022,Ligue 1,Paris Saint-Germain,1-0,Stade Rennais FC,Starter,90,0,1,0,30
955,06-02-2022,Ligue 1,Lille OSC,1-5,Paris Saint-Germain,Starter,90,1,1,0,30
954,31-01-2022,Coupe de France,Paris Saint-Germain,0-0,OGC Nice,Starter,90,0,0,0,30
953,23-01-2022,Ligue 1,Paris Saint-Germain,4-0,Stade de Reims,Substitute,28,0,1,0,30
952,22-12-2021,Ligue 1,FC Lorient,1-1,Paris Saint-Germain,Starter,90,0,0,0,30
951,12-12-2021,Ligue 1,Paris Saint-Germain,2-0,AS Monaco FC,Starter,90,0,1,0,30
950,07-12-2021,UEFA Champions League,Paris Saint-Germain,4-1,Club Brugge,Starter,90,2,0,0,30
949,04-12-2021,Ligue 1,RC Lens,1-1,Paris Saint-Germain,Starter,90,0,0,0,30
948,01-12-2021,Ligue 1,Paris Saint-Germain,0-0,OGC Nice,Starter,90,0,0,0,30
947,28-11-2021,Ligue 1,AS Saint-Étienne,1-3,Paris Saint-Germain,Starter,90,0,3,0,30
946,24-11-2021,UEFA Champions League,Manchester City,2-1,Paris Saint-Germain,Starter,90,0,0,0,30
945,20-11-2021,Ligue 1,Paris Saint-Germain,3-1,FC Nantes,Starter,90,1,0,0,30
944,16-11-2021,World Cup 2022 Qualification,Argentina,0-0,Brazil,Starter,90,0,0,0,10
943,12-11-2021,World Cup 2022 Qualification,Uruguay,0-1,Argentina,Substitute,15,0,0,0,10
942,29-10-2021,Ligue 1,Paris Saint-Germain,2-1,Lille OSC,Starter,45,0,0,0,30
941,24-10-2021,Ligue 1,Olympique Marseille,0-0,Paris Saint-Germain,Starter,90,0,0,0,30
940,19-10-2021,UEFA Champions League,Paris Saint-Germain,3-2,RB Leipzig,Starter,90,2,0,0,30
939,14-10-2021,World Cup 2022 Qualification,Argentina,1-0,Peru,Starter,90,0,0,0,10
938,10-10-2021,World Cup 2022 Qualification,Argentina,3-0,Uruguay,Starter,90,1,0,0,10
937,08-10-2021,World Cup 2022 Qualification,Paraguay,0-0,Argentina,Starter,90,0,0,0,10
936,03-10-2021,Ligue 1,Stade Rennais FC,2-0,Paris Saint-Germain,Starter,90,0,0,0,30
935,28-09-2021,UEFA Champions League,Paris Saint-Germain,2-0,Manchester City,Starter,90,1,0,0,30
