Game,Date,Competition,Home team,Result,Away team,Lineup,Minutes,Goals,Assists,Cards,Jersey
743,17-02-2018,La Liga,Eibar,0-2,FC Barcelona,Starter,90,0,1,0,10
742,11-02-2018,La Liga,FC Barcelona,0-0,Getafe,Starter,90,0,0,0,10
741,08-02-2018,Copa del Rey,Valencia,0-2,FC Barcelona,Starter,90,0,0,0,10
740,04-02-2018,La Liga,Espanyol,1-1,FC Barcelona,Substitute,32,0,1,0,10
739,01-02-2018,Copa del Rey,FC Barcelona,1-0,Valencia,Starter,90,0,1,0,10
738,28-01-2018,La Liga,FC Barcelona,2-1,Alavés,Starter,90,1,0,0,10
737,25-01-2018,Copa del Rey,FC Barcelona,2-0,Espanyol,Starter,90,1,0,1,10
736,21-01-2018,La Liga,Real Betis,0-5,FC Barcelona,Starter,90,2,1,0,10
735,17-01-2018,Copa del Rey,Espanyol,1-0,FC Barcelona,Starter,90,0,0,0,10
734,14-01-2018,La Liga,Real Sociedad,2-4,FC Barcelona,Starter,90,1,1,0,10
733,11-01-2018,Copa del Rey,FC Barcelona,5-0,Celta de Vigo,Starter,58,2,1,0,10
732,07-01-2018,La Liga,FC Barcelona,3-0,Levante,Starter,90,1,1,0,10
731,23-12-2017,La Liga,Real Madrid,0-3,FC Barcelona,Starter,90,1,1,0,10
730,17-12-2017,La Liga,FC Barcelona,4-0,Deportivo La Coruña,Starter,90,0,1,0,10
729,10-12-2017,La Liga,Villarreal,0-2,FC Barcelona,Starter,90,1,0,0,10
728,05-12-2017,UEFA Champions League,FC Barcelona,2-0,Sporting Lisbon,Substitute,30,0,0,0,10
727,02-12-2017,La Liga,FC Barcelona,2-2,Celta de Vigo,Starter,90,1,0,0,10
726,26-11-2017,La Liga,Valencia,1-1,FC Barcelona,Starter,90,0,1,0,10
725,22-11-2017,UEFA Champions League,Juventus,0-0,FC Barcelona,Substitute,35,0,0,0,10
724,18-11-2017,La Liga,Leganés,0-3,FC Barcelona,Starter,90,0,0,0,10
723,11-11-2017,International friendly,Russia,0-1,Argentina,Starter,90,0,0,0,10
722,04-11-2017,La Liga,FC Barcelona,2-1,Sevilla,Starter,90,0,0,1,10
721,31-10-2017,UEFA Champions League,Olympiacos,0-0,FC Barcelona,Starter,90,0,0,0,10
720,28-10-2017,La Liga,Athletic de Bilbao,0-2,FC Barcelona,Starter,90,1,0,0,10
719,21-10-2017,La Liga,FC Barcelona,2-0,Málaga,Starter,90,0,1,0,10
718,18-10-2017,UEFA Champions League,FC Barcelona,3-1,Olympiacos,Starter,90,1,1,0,10
717,14-10-2017,La Liga,Atlético Madrid,1-1,FC Barcelona,Starter,90,0,0,0,10
716,10-10-2017,World Cup 2018 Qualification,Ecuador,1-3,Argentina,Starter,90,3,0,0,10
715,05-10-2017,World Cup 2018 Qualification,Argentina,0-0,Peru,Starter,90,0,0,0,10
714,01-10-2017,La Liga,FC Barcelona,3-0,Las Palmas,Starter,90,2,1,0,10
713,27-09-2017,UEFA Champions League,Sporting Lisbon,0-1,FC Barcelona,Starter,90,0,0,0,10
712,23-09-2017,La Liga,Girona,0-3,FC Barcelona,Starter,90,0,0,0,10
711,19-09-2017,La Liga,FC Barcelona,6-1,Eibar,Starter,90,4,0,0,10
710,16-09-2017,La Liga,Getafe,1-2,FC Barcelona,Starter,90,0,1,0,10
709,12-09-2017,UEFA Champions League,FC Barcelona,3-0,Juventus,Starter,90,2,0,1,10
708,09-09-2017,La Liga,FC Barcelona,5-0,Espanyol,Starter,90,3,0,0,10
707,05-09-2017,World Cup 2018 Qualification,Argentina,1-1,Venezuela,Starter,90,0,0,0,10
706,31-08-2017,World Cup 2018 Qualification,Uruguay,0-0,Argentina,Starter,90,0,0,0,10
705,26-08-2017,La Liga,Alavés,0-2,FC Barcelona,Starter,90,2,0,0,10
704,20-08-2017,La Liga,FC Barcelona,2-0,Real Betis,Starter,90,0,0,0,10
703,16-08-2017,Spanish Super Cup,Real Madrid,2-0,FC Barcelona,Starter,90,0,0,0,10
702,13-08-2017,Spanish Super Cup,FC Barcelona,1-3,Real Madrid,Starter,90,1,0,1,10
701,09-06-2017,International friendly,Brazil,0-1,Argentina,Starter,90,0,0,0,10
700,27-05-2017,Copa del Rey,FC Barcelona,3-1,Alavés,Starter,90,1,1,1,10
699,21-05-2017,La Liga,FC Barcelona,4-2,Eibar,Starter,90,2,0,0,10
698,14-05-2017,La Liga,Las Palmas,1-4,FC Barcelona,Starter,90,0,0,0,10
697,06-05-2017,La Liga,FC Barcelona,4-1,Villarreal,Starter,90,2,0,0,10
696,29-04-2017,La Liga,Espanyol,0-3,FC Barcelona,Starter,90,0,1,0,10
695,26-04-2017,La Liga,FC Barcelona,7-1,Osasuna,Starter,62,2,0,0,10
694,23-04-2017,La Liga,Real Madrid,2-3,FC Barcelona,Starter,90,2,0,1,10
693,19-04-2017,UEFA Champions League,FC Barcelona,0-0,Juventus,Starter,90,0,0,0,10
692,15-04-2017,La Liga,FC Barcelona,3-2,Real Sociedad,Starter,90,2,1,0,10
691,11-04-2017,UEFA Champions League,Juventus,3-0,FC Barcelona,Starter,90,0,0,0,10
690,08-04-2017,La Liga,Málaga,2-0,FC Barcelona,Starter,90,0,0,0,10
689,05-04-2017,La Liga,FC Barcelona,3-0,Sevilla,Starter,90,2,0,0,10
688,23-03-2017,World Cup 2018 Qualification,Argentina,1-0,Chile,Starter,90,1,0,0,10
687,19-03-2017,La Liga,FC Barcelona,4-2,Valencia,Starter,90,2,0,1,10
686,12-03-2017,La Liga,Deportivo La Coruña,2-1,FC Barcelona,Starter,90,0,0,0,10
685,08-03-2017,UEFA Champions League,FC Barcelona,6-1,Paris Saint-Germain,Starter,90,1,0,0,10
684,04-03-2017,La Liga,FC Barcelona,5-0,Celta de Vigo,Starter,90,2,2,0,10
683,01-03-2017,La Liga,FC Barcelona,6-1,Sporting Gijón,Starter,60,1,1,0,10
682,26-02-2017,La Liga,Atlético Madrid,1-2,FC Barcelona,Starter,90,1,0,1,10
681,19-02-2017,La Liga,FC Barcelona,2-1,Leganés,Starter,90,2,0,0,10
680,14-02-2017,UEFA Champions League,Paris Saint-Germain,4-0,FC Barcelona,Starter,90,0,0,0,10
679,11-02-2017,La Liga,Alavés,0-6,FC Barcelona,Starter,90,1,0,0,10
678,07-02-2017,Copa del Rey,FC Barcelona,1-1,Atlético Madrid,Starter,90,0,0,0,10
677,04-02-2017,La Liga,FC Barcelona,3-0,Athletic de Bilbao,Starter,63,1,0,0,10
676,01-02-2017,Copa del Rey,Atlético Madrid,1-2,FC Barcelona,Starter,90,1,0,1,10
675,29-01-2017,La Liga,Real Betis,1-1,FC Barcelona,Starter,90,0,1,0,10
674,26-01-2017,Copa del Rey,FC Barcelona,5-2,Real Sociedad,Starter,90,1,2,0,10
673,22-01-2017,La Liga,Eibar,0-4,FC Barcelona,Starter,90,1,0,0,10
672,19-01-2017,Copa del Rey,Real Sociedad,0-1,FC Barcelona,Starter,90,0,0,1,10
671,14-01-2017,La Liga,FC Barcelona,5-0,Las Palmas,Starter,90,1,0,0,10
670,11-01-2017,Copa del Rey,FC Barcelona,3-1,Athletic de Bilbao,Starter,90,1,0,0,10
669,08-01-2017,La Liga,Villarreal,1-1,FC Barcelona,Starter,90,1,0,0,10
668,05-01-2017,Copa del Rey,Athletic de Bilbao,2-1,FC Barcelona,Starter,90,1,0,0,10
667,18-12-2016,La Liga,FC Barcelona,4-1,Espanyol,Starter,90,1,0,0,10
666,10-12-2016,La Liga,Osasuna,0-3,FC Barcelona,Starter,90,2,0,0,10
665,06-12-2016,UEFA Champions League,FC Barcelona,4-0,Borussia Mönchengladbach,Starter,90,1,0,0,10
664,03-12-2016,La Liga,FC Barcelona,1-1,Real Madrid,Starter,90,0,0,0,10
663,27-11-2016,La Liga,Real Sociedad,1-1,FC Barcelona,Starter,90,1,0,0,10
662,23-11-2016,UEFA Champions League,Celtic,0-2,FC Barcelona,Starter,90,2,0,0,10
661,15-11-2016,World Cup 2018 Qualification,Argentina,3-0,Colombia,Starter,90,1,2,0,10
660,10-11-2016,World Cup 2018 Qualification,Brazil,3-0,Argentina,Starter,90,0,0,0,10
659,06-11-2016,La Liga,Sevilla,1-2,FC Barcelona,Starter,90,1,1,1,10
658,01-11-2016,UEFA Champions League,Manchester City,3-1,FC Barcelona,Starter,90,1,0,0,10
657,29-10-2016,La Liga,FC Barcelona,1-0,Granada,Starter,90,0,0,0,10
656,22-10-2016,La Liga,Valencia,2-3,FC Barcelona,Starter,90,2,0,1,10
655,19-10-2016,UEFA Champions League,FC Barcelona,4-0,Manchester City,Starter,90,3,1,0,10
654,15-10-2016,La Liga,FC Barcelona,4-0,Deportivo La Coruña,Substitute,36,1,0,0,10
653,21-09-2016,La Liga,FC Barcelona,1-1,Atlético Madrid,Starter,58,0,0,0,10
652,17-09-2016,La Liga,Leganés,1-5,FC Barcelona,Starter,90,2,1,0,10
651,13-09-2016,UEFA Champions League,FC Barcelona,7-0,Celtic,Starter,90,3,1,0,10
650,10-09-2016,La Liga,FC Barcelona,1-2,Alavés,Substitute,31,0,0,0,10
649,01-09-2016,World Cup 2018 Qualification,Argentina,1-0,Uruguay,Starter,90,1,0,0,10
648,28-08-2016,La Liga,Athletic de Bilbao,0-1,FC Barcelona,Starter,90,0,0,0,10
647,20-08-2016,La Liga,FC Barcelona,6-2,Real Betis,Starter,90,2,1,0,10
646,17-08-2016,Spanish Super Cup,FC Barcelona,3-0,Sevilla,Starter,90,1,1,0,10
645,14-08-2016,Spanish Super Cup,Sevilla,0-2,FC Barcelona,Starter,90,0,1,0,10
644,26-06-2016,Copa América Centenario,Argentina,0-0,Chile,Starter,120,0,0,1,10
643,21-06-2016,Copa América Centenario,United States,0-4,Argentina,Starter,90,1,2,0,10
642,18-06-2016,Copa América Centenario,Argentina,4-1,Venezuela,Starter,90,1,2,0,10
641,14-06-2016,Copa América Centenario,Argentina,3-0,Bolivia,Substitute,45,0,0,0,10
640,10-06-2016,Copa América Centenario,Argentina,5-0,Panama,Substitute,30,3,0,0,10
639,27-05-2016,International friendly,Argentina,1-0,Honduras,Starter,63,0,0,0,10
638,22-05-2016,Copa del Rey,FC Barcelona,2-0,Sevilla,Starter,120,0,2,0,10
637,14-05-2016,La Liga,Granada,0-3,FC Barcelona,Starter,90,0,0,0,10
636,08-05-2016,La Liga,FC Barcelona,5-0,Espanyol,Starter,90,1,1,1,10
635,30-04-2016,La Liga,Real Betis,0-2,FC Barcelona,Starter,90,0,2,1,10
634,23-04-2016,La Liga,FC Barcelona,6-0,Sporting Gijón,Starter,90,1,1,0,10
633,20-04-2016,La Liga,Deportivo La Coruña,0-8,FC Barcelona,Starter,90,1,2,0,10
632,17-04-2016,La Liga,FC Barcelona,1-2,Valencia,Starter,90,1,0,0,10
631,13-04-2016,UEFA Champions League,Atlético Madrid,2-0,FC Barcelona,Starter,90,0,0,0,10
630,09-04-2016,La Liga,Real Sociedad,1-0,FC Barcelona,Starter,90,0,0,0,10
629,05-04-2016,UEFA Champions League,FC Barcelona,2-1,Atlético Madrid,Starter,90,0,0,0,10
628,02-04-2016,La Liga,FC Barcelona,1-2,Real Madrid,Starter,90,0,0,0,10
627,29-03-2016,World Cup 2018 Qualification,Argentina,2-0,Bolivia,Starter,90,1,0,0,10
626,24-03-2016,World Cup 2018 Qualification,Chile,1-2,Argentina,Starter,90,0,0,0,10
625,20-03-2016,La Liga,Villarreal,2-2,FC Barcelona,Starter,90,0,0,0,10
624,16-03-2016,UEFA Champions League,FC Barcelona,3-1,Arsenal,Starter,90,1,0,0,10
623,12-03-2016,La Liga,FC Barcelona,6-0,Getafe,Starter,90,1,3,0,10
622,06-03-2016,La Liga,Eibar,0-4,FC Barcelona,Starter,90,2,0,0,10
621,03-03-2016,La Liga,Rayo Vallecano,1-5,FC Barcelona,Starter,90,3,0,0,10
620,28-02-2016,La Liga,FC Barcelona,2-1,Sevilla,Starter,90,1,0,0,10
619,23-02-2016,UEFA Champions League,Arsenal,0-2,FC Barcelona,Starter,90,2,0,0,10
618,20-02-2016,La Liga,Las Palmas,1-2,FC Barcelona,Starter,90,0,0,0,10
617,17-02-2016,La Liga,Sporting Gijón,1-3,FC Barcelona,Starter,90,2,0,0,10
616,14-02-2016,La Liga,FC Barcelona,6-1,Celta de Vigo,Starter,90,1,2,0,10
615,07-02-2016,La Liga,Levante,0-2,FC Barcelona,Starter,90,0,1,0,10
614,03-02-2016,Copa del Rey,FC Barcelona,7-0,Valencia,Starter,90,3,0,0,10
613,30-01-2016,La Liga,FC Barcelona,2-1,Atlético Madrid,Starter,90,1,0,0,10
612,27-01-2016,Copa del Rey,FC Barcelona,3-1,Athletic de Bilbao,Starter,90,0,1,0,10
611,23-01-2016,La Liga,Málaga,1-2,FC Barcelona,Starter,90,1,0,1,10
610,17-01-2016,La Liga,FC Barcelona,6-0,Athletic de Bilbao,Starter,45,1,0,0,10
609,13-01-2016,Copa del Rey,Espanyol,0-2,FC Barcelona,Starter,90,0,1,0,10
608,09-01-2016,La Liga,FC Barcelona,4-0,Granada,Starter,90,3,0,0,10
607,06-01-2016,Copa del Rey,FC Barcelona,4-1,Espanyol,Starter,90,2,2,1,10
606,02-01-2016,La Liga,Espanyol,0-0,FC Barcelona,Starter,90,0,0,0,10
605,30-12-2015,La Liga,FC Barcelona,4-0,Real Betis,Starter,90,1,0,0,10
604,20-12-2015,FIFA Club World Cup,CA River Plate,0-3,FC Barcelona,Starter,90,1,0,0,10
603,12-12-2015,La Liga,FC Barcelona,2-2,Deportivo La Coruña,Starter,90,1,1,0,10
602,09-12-2015,UEFA Champions League,Bayer Leverkusen,1-1,FC Barcelona,Starter,90,1,0,0,10
601,05-12-2015,La Liga,Valencia,1-1,FC Barcelona,Starter,90,0,1,0,10
600,28-11-2015,La Liga,FC Barcelona,4-0,Real Sociedad,Starter,90,1,0,0,10
599,24-11-2015,UEFA Champions League,FC Barcelona,6-1,AS Roma,Starter,90,2,1,1,10
598,21-11-2015,La Liga,Real Madrid,0-4,FC Barcelona,Substitute,35,0,0,0,10
597,26-09-2015,La Liga,FC Barcelona,2-1,Las Palmas,Starter,9,0,0,0,10
596,23-09-2015,La Liga,Celta de Vigo,4-1,FC Barcelona,Starter,90,0,1,0,10
595,20-09-2015,La Liga,FC Barcelona,4-1,Levante,Starter,90,2,1,0,10
594,16-09-2015,UEFA Champions League,AS Roma,1-1,FC Barcelona,Starter,90,0,0,0,10
593,12-09-2015,La Liga,Atlético Madrid,1-2,FC Barcelona,Substitute,31,1,0,0,10
592,08-09-2015,International friendly,Argentina,2-2,Mexico,Starter,90,1,0,0,10
591,04-09-2015,International friendly,Argentina,7-0,Bolivia,Substitute,27,2,0,0,10
590,29-08-2015,La Liga,FC Barcelona,1-0,Málaga,Starter,90,0,0,0,10
589,23-08-2015,La Liga,Athletic de Bilbao,0-1,FC Barcelona,Starter,90,0,0,0,10
588,17-08-2015,Spanish Super Cup,FC Barcelona,1-1,Athletic de Bilbao,Starter,90,1,0,0,10
587,14-08-2015,Spanish Super Cup,Athletic de Bilbao,4-0,FC Barcelona,Starter,90,0,0,0,10
586,11-08-2015,UEFA European Super Cup,FC Barcelona,5-4,Sevilla,Starter,120,2,0,0,10
585,04-07-2015,Copa América 2015,Chile,0-0,Argentina,Starter,120,0,0,0,10
584,30-06-2015,Copa América 2015,Argentina,6-1,Paraguay,Starter,90,0,3,0,10
583,26-06-2015,Copa América 2015,Argentina,0-0,Colombia,Starter,90,0,0,1,10
582,20-06-2015,Copa América 2015,Argentina,1-0,Jamaica,Starter,90,0,0,0,10
581,16-06-2015,Copa América 2015,Argentina,1-0,Uruguay,Starter,90,0,0,0,10
580,13-06-2015,Copa América 2015,Argentina,2-2,Paraguay,Starter,90,1,0,0,10
579,06-06-2015,UEFA Champions League,Juventus,1-3,FC Barcelona,Starter,90,0,0,0,10
578,30-05-2015,Copa del Rey,Athletic de Bilbao,1-3,FC Barcelona,Starter,90,2,0,0,10
577,23-05-2015,La Liga,FC Barcelona,2-2,Deportivo La Coruña,Starter,90,2,0,0,10
576,17-05-2015,La Liga,Atlético Madrid,0-1,FC Barcelona,Starter,90,1,0,1,10
575,12-05-2015,UEFA Champions League,Bayern München,3-2,FC Barcelona,Starter,90,0,0,0,10
574,09-05-2015,La Liga,FC Barcelona,2-0,Real Sociedad,Starter,90,0,0,0,10
573,06-05-2015,UEFA Champions League,FC Barcelona,3-0,Bayern München,Starter,90,2,1,0,10
572,02-05-2015,La Liga,Córdoba,0-8,FC Barcelona,Starter,90,2,1,0,10
571,28-04-2015,La Liga,FC Barcelona,6-0,Getafe,Starter,90,2,1,0,10
570,25-04-2015,La Liga,Espanyol,0-2,FC Barcelona,Starter,90,1,0,0,10
569,21-04-2015,UEFA Champions League,FC Barcelona,2-0,Paris Saint-Germain,Starter,90,0,0,0,10
568,18-04-2015,La Liga,FC Barcelona,2-0,Valencia,Starter,90,1,1,0,10
567,15-04-2015,UEFA Champions League,Paris Saint-Germain,1-3,FC Barcelona,Starter,90,0,1,1,10
566,11-04-2015,La Liga,Sevilla,2-2,FC Barcelona,Starter,90,1,0,0,10
565,08-04-2015,La Liga,FC Barcelona,4-0,UD Almería,Starter,90,1,0,0,10
564,05-04-2015,La Liga,Celta de Vigo,0-1,FC Barcelona,Starter,90,0,0,0,10
563,22-03-2015,La Liga,FC Barcelona,2-1,Real Madrid,Starter,90,0,1,0,10
562,18-03-2015,UEFA Champions League,FC Barcelona,1-0,Manchester City,Starter,90,0,1,0,10
561,14-03-2015,La Liga,Eibar,0-2,FC Barcelona,Starter,90,2,0,0,10
560,08-03-2015,La Liga,FC Barcelona,6-1,Rayo Vallecano,Starter,90,3,1,0,10
559,04-03-2015,Copa del Rey,Villarreal,1-3,FC Barcelona,Starter,90,0,1,0,10
558,28-02-2015,La Liga,Granada,1-3,FC Barcelona,Starter,90,1,0,0,10
557,24-02-2015,UEFA Champions League,Manchester City,0-2,FC Barcelona,Starter,90,0,0,0,10
556,21-02-2015,La Liga,FC Barcelona,0-1,Málaga,Starter,90,0,0,0,10
555,15-02-2015,La Liga,FC Barcelona,5-0,Levante,Starter,90,3,1,0,10
554,11-02-2015,Copa del Rey,FC Barcelona,3-1,Villarreal,Starter,90,1,1,0,10
553,08-02-2015,La Liga,Athletic de Bilbao,2-5,FC Barcelona,Starter,90,1,2,0,10
552,01-02-2015,La Liga,FC Barcelona,3-2,Villarreal,Starter,90,1,0,0,10
551,28-01-2015,Copa del Rey,Atlético Madrid,2-3,FC Barcelona,Starter,90,0,0,1,10
550,24-01-2015,La Liga,Elche,0-6,FC Barcelona,Starter,90,2,2,0,10
549,21-01-2015,Copa del Rey,FC Barcelona,1-0,Atlético Madrid,Starter,90,1,0,0,10
548,18-01-2015,La Liga,Deportivo La Coruña,0-4,FC Barcelona,Starter,90,3,0,0,10
547,11-01-2015,La Liga,FC Barcelona,3-1,Atlético Madrid,Starter,90,1,1,1,10
546,08-01-2015,Copa del Rey,FC Barcelona,5-0,Elche,Starter,90,1,2,0,10
545,04-01-2015,La Liga,Real Sociedad,1-0,FC Barcelona,Substitute,45,0,0,0,10
544,20-12-2014,La Liga,FC Barcelona,5-0,Córdoba,Starter,90,2,0,0,10
543,13-12-2014,La Liga,Getafe,0-0,FC Barcelona,Starter,90,0,0,0,10
542,10-12-2014,UEFA Champions League,FC Barcelona,3-1,Paris Saint-Germain,Starter,90,1,0,0,10
541,07-12-2014,La Liga,FC Barcelona,5-1,Espanyol,Starter,90,3,0,0,10
540,30-11-2014,La Liga,Valencia,0-1,FC Barcelona,Starter,90,0,0,1,10
539,25-11-2014,UEFA Champions League,APOEL FC,0-4,FC Barcelona,Starter,90,3,0,0,10
538,22-11-2014,La Liga,FC Barcelona,5-1,Sevilla,Starter,90,3,0,0,10
537,18-11-2014,International friendly,Portugal,1-0,Argentina,Starter,45,0,0,0,10
536,12-11-2014,International friendly,Argentina,2-1,Croatia,Starter,90,1,1,0,10
535,08-11-2014,La Liga,UD Almería,1-2,FC Barcelona,Starter,90,0,0,0,10
534,05-11-2014,UEFA Champions League,Ajax,0-2,FC Barcelona,Starter,90,2,0,0,10
533,01-11-2014,La Liga,FC Barcelona,0-1,Celta de Vigo,Starter,90,0,0,0,10
532,25-10-2014,La Liga,Real Madrid,3-1,FC Barcelona,Starter,90,0,0,1,10
531,21-10-2014,UEFA Champions League,FC Barcelona,3-1,Ajax,Starter,65,1,1,0,10
530,18-10-2014,La Liga,FC Barcelona,3-0,Eibar,Starter,90,1,1,0,10
529,14-10-2014,International friendly,Hong Kong,0-7,Argentina,Substitute,31,2,1,0,10
528,11-10-2014,International friendly,Brazil,2-0,Argentina,Starter,90,0,0,0,10
527,04-10-2014,La Liga,Rayo Vallecano,0-2,FC Barcelona,Starter,90,1,0,0,10
526,30-09-2014,UEFA Champions League,Paris Saint-Germain,3-2,FC Barcelona,Starter,90,1,0,0,10
525,27-09-2014,La Liga,FC Barcelona,6-0,Granada,Starter,90,2,2,0,10
524,24-09-2014,La Liga,Málaga,0-0,FC Barcelona,Starter,90,0,0,0,10
523,21-09-2014,La Liga,Levante,0-5,FC Barcelona,Starter,90,1,2,0,10
522,17-09-2014,UEFA Champions League,FC Barcelona,1-0,APOEL FC,Starter,90,0,1,0,10
521,13-09-2014,La Liga,FC Barcelona,2-0,Athletic de Bilbao,Starter,90,0,2,0,10
520,31-08-2014,La Liga,Villarreal,0-1,FC Barcelona,Starter,90,0,0,0,10
519,24-08-2014,La Liga,FC Barcelona,3-0,Elche,Starter,90,2,0,0,10
518,13-07-2014,World Cup 2014,Germany,1-0,Argentina,Starter,120,0,0,0,10
517,09-07-2014,World Cup 2014,Netherlands,0-0,Argentina,Starter,120,0,0,0,10
516,05-07-2014,World Cup 2014,Argentina,1-0,Belgium,Starter,90,0,0,0,10
515,01-07-2014,World Cup 2014,Argentina,1-0,Switzerland,Starter,120,0,1,0,10
514,25-06-2014,World Cup 2014,Nigeria,2-3,Argentina,Starter,62,2,0,0,10
513,21-06-2014,World Cup 2014,Argentina,1-0,Iran,Starter,90,1,0,0,10
512,16-06-2014,World Cup 2014,Argentina,2-1,Bosnia-Herzegovina,Starter,90,1,0,0,10
511,07-06-2014,International friendly,Argentina,2-0,Slovenia,Substitute,34,1,0,0,10
510,05-06-2014,International friendly,Argentina,3-0,Trinidad & Tobago,Starter,90,0,0,0,10
509,17-05-2014,La Liga,FC Barcelona,1-1,Atlético Madrid,Starter,90,0,1,1,10
508,11-05-2014,La Liga,Elche,0-0,FC Barcelona,Starter,90,0,0,0,10
507,03-05-2014,La Liga,FC Barcelona,2-2,Getafe,Starter,90,1,0,0,10
506,27-04-2014,La Liga,Villarreal,2-3,FC Barcelona,Starter,90,1,0,0,10
505,20-04-2014,La Liga,FC Barcelona,2-1,Athletic de Bilbao,Starter,90,1,0,0,10
504,16-04-2014,Copa del Rey,FC Barcelona,1-2,Real Madrid,Starter,90,0,0,0,10
503,12-04-2014,La Liga,Granada,1-0,FC Barcelona,Starter,90,0,0,1,10
502,09-04-2014,UEFA Champions League,Atlético Madrid,1-0,FC Barcelona,Starter,90,0,0,0,10
501,05-04-2014,La Liga,FC Barcelona,3-1,Real Betis,Starter,90,2,0,0,10
500,01-04-2014,UEFA Champions League,FC Barcelona,1-1,Atlético Madrid,Starter,90,0,0,0,10
499,29-03-2014,La Liga,Espanyol,0-1,FC Barcelona,Starter,90,1,0,0,10
498,26-03-2014,La Liga,FC Barcelona,3-0,Celta de Vigo,Starter,90,1,0,0,10
497,23-03-2014,La Liga,Real Madrid,3-4,FC Barcelona,Starter,90,3,1,0,10
496,16-03-2014,La Liga,FC Barcelona,7-0,Osasuna,Starter,90,3,1,0,10
495,12-03-2014,UEFA Champions League,FC Barcelona,2-1,Manchester City,Starter,90,1,0,0,10
494,08-03-2014,La Liga,Real Valladolid,1-0,FC Barcelona,Starter,90,0,0,0,10
493,05-03-2014,International friendly,Romania,0-0,Argentina,Starter,90,0,0,0,10
492,02-03-2014,La Liga,FC Barcelona,4-1,UD Almería,Starter,90,1,0,0,10
491,22-02-2014,La Liga,Real Sociedad,3-1,FC Barcelona,Starter,90,1,0,0,10
490,18-02-2014,UEFA Champions League,Manchester City,0-2,FC Barcelona,Starter,90,1,0,0,10
489,15-02-2014,La Liga,FC Barcelona,6-0,Rayo Vallecano,Starter,73,2,1,0,10
488,12-02-2014,Copa del Rey,Real Sociedad,1-1,FC Barcelona,Starter,90,1,0,0,10
487,09-02-2014,La Liga,Sevilla,1-4,FC Barcelona,Starter,90,2,1,0,10
486,05-02-2014,Copa del Rey,FC Barcelona,2-0,Real Sociedad,Starter,90,0,0,1,10
485,01-02-2014,La Liga,FC Barcelona,2-3,Valencia,Starter,90,1,1,0,10
484,26-01-2014,La Liga,FC Barcelona,3-0,Málaga,Starter,90,0,1,0,10
483,22-01-2014,Copa del Rey,Levante,1-4,FC Barcelona,Starter,90,0,3,0,10
482,19-01-2014,La Liga,Levante,1-1,FC Barcelona,Starter,90,0,0,0,10
481,16-01-2014,Copa del Rey,Getafe,0-2,FC Barcelona,Starter,90,2,0,0,10
480,11-01-2014,La Liga,Atlético Madrid,0-0,FC Barcelona,Substitute,45,0,0,0,10
479,08-01-2014,Copa del Rey,FC Barcelona,4-0,Getafe,Substitute,27,2,0,0,10
478,10-11-2013,La Liga,Real Betis,1-4,FC Barcelona,Starter,20,0,0,0,10
477,06-11-2013,UEFA Champions League,FC Barcelona,3-1,AC Milan,Starter,90,2,0,0,10
476,01-11-2013,La Liga,FC Barcelona,1-0,Espanyol,Starter,90,0,0,0,10
475,29-10-2013,La Liga,Celta de Vigo,0-3,FC Barcelona,Starter,90,0,1,0,10
474,26-10-2013,La Liga,FC Barcelona,2-1,Real Madrid,Starter,90,0,0,0,10
473,22-10-2013,UEFA Champions League,AC Milan,1-1,FC Barcelona,Starter,90,1,0,0,10
472,19-10-2013,La Liga,Osasuna,0-0,FC Barcelona,Substitute,23,0,0,0,10
471,28-09-2013,La Liga,UD Almería,0-2,FC Barcelona,Starter,28,1,0,0,10
470,24-09-2013,La Liga,FC Barcelona,4-1,Real Sociedad,Starter,80,1,1,0,10
469,21-09-2013,La Liga,Rayo Vallecano,0-4,FC Barcelona,Starter,90,0,1,0,10
468,18-09-2013,UEFA Champions League,FC Barcelona,4-0,Ajax,Starter,90,3,0,0,10
467,14-09-2013,La Liga,FC Barcelona,3-2,Sevilla,Starter,90,1,0,0,10
466,11-09-2013,World Cup 2014 Qualification,Paraguay,2-5,Argentina,Starter,90,2,1,0,10
465,01-09-2013,La Liga,Valencia,2-3,FC Barcelona,Starter,90,3,0,0,10
464,28-08-2013,Spanish Super Cup,FC Barcelona,0-0,Atlético Madrid,Starter,90,0,0,0,10
463,21-08-2013,Spanish Super Cup,Atlético Madrid,1-1,FC Barcelona,Starter,45,0,0,0,10
462,18-08-2013,La Liga,FC Barcelona,7-0,Levante,Starter,70,2,1,0,10
461,15-06-2013,International friendly,Guatemala,0-4,Argentina,Starter,67,3,1,0,10
460,11-06-2013,World Cup 2014 Qualification,Ecuador,1-1,Argentina,Substitute,31,0,0,0,10
459,08-06-2013,World Cup 2014 Qualification,Argentina,0-0,Colombia,Substitute,34,0,0,0,10
458,12-05-2013,La Liga,Atlético Madrid,1-2,FC Barcelona,Starter,70,0,0,0,10
457,05-05-2013,La Liga,FC Barcelona,4-2,Real Betis,Substitute,35,2,0,0,10
456,27-04-2013,La Liga,Athletic de Bilbao,2-2,FC Barcelona,Substitute,32,1,1,0,10
455,23-04-2013,UEFA Champions League,Bayern München,4-0,FC Barcelona,Starter,90,0,0,0,10
454,10-04-2013,UEFA Champions League,FC Barcelona,1-1,Paris Saint-Germain,Substitute,29,0,0,0,10
